"Reference","Value","Datasheet","Qty","Description","Manufacturer_Part_Number","Price"
"B1,B2,B3","BH-18650-PC","https://www.digikey.co.uk/en/products/detail/mpd-memory-protection-devices/BH-18650-PC/3029216?srsltid=AfmBOoq6lGI2cYGJ3Cfqnk8xR0AGBP0Fpn8p5Ip-hPx4z4o8K8kUS-Z8","3","BATTERY HOLDER 18650 PC PIN","BH-18650-PC","3.08"
"C1,C8,C15","2.2u","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188R61H225KE11D?qs=eeBpzGFlv%252B%2Fz%2FOAJ2DfLOw%3D%3D&srsltid=AfmBOooMRD77aOTkbRY7oYUXY9ClaKW758oHzigtEwQ_PDvO6XIDiy7v","3","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 50 VDC 10% 0603 X5R","GRM188R61H225KE11D","0.22"
"C2,C9,C10,C11,C13,C18","0.1u","https://uk.farnell.com/kemet/c0603c104k5racauto/cap-0-1-f-50v-10-x7r-0603/dp/2070398","6","SMD Multilayer Ceramic Capacitor, AEC-Q200, 0.1 µF, 50 V, 0603 [1608 Metric], ± 10%, X7R","C0603C104K5RACAUTO","0.05"
"C3,C6,C23,C24","10u","https://www.arrow.com/en/products/cl10a106ma8nrnc/samsung-electro-mechanics","4","Cap Ceramic 10uF 25V X5R 20% SMD 0603 85C T/R","CL10A106MA8NRNC","0.11"
"C4,C5,C16,C22","1u","https://www.digikey.co.uk/en/products/detail/tdk-corporation/C1608X5R1H105K080AB/2732903?srsltid=AfmBOor56GgfnLXHgi-3LeZegffSOwAv9v8D2cXwpLB2cc7IytPjt7iG","4","CAP CER 1UF 50V X5R 0603","C1608X5R1H105K080AB","0.156"
"C7,C14","100p","https://uk.farnell.com/vishay/ga0603a101jxbac31g/cap-100pf-100v-5-c0g-np0-0603/dp/2896273?srsltid=AfmBOopps1O3T5ds2gH7mhcZk32VudXQ5U8fCOsk4ufABrc0nzttvuWd","2","CAP CER 100PF 100V C0G/NP0 0603","GA0603A101JXBAC31G","0.204"
"C12","0.47u","https://www.digikey.co.uk/en/products/detail/tdk-corporation/C1608X5R1H474K080AB/2732899?srsltid=AfmBOoqagN9YJBqR85ruxF3MMpUEc4G3YAP5Yultw5Ndhr4vU9UQ3zFV","1","0.47 µF ±10% 50V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1H474K080AB","0.156"
"C17","4.7u","https://uk.farnell.com/murata/zrb18ar6ya475me05l/cap-4-7uf-35v-mlcc-0603/dp/2990844","1","SMD Multilayer Ceramic Capacitor, 4.7 µF, 35 V, 0603 [1608 Metric], ± 20%, X5R","ZRB18AR6YA475ME05L","0.198"
"C19","1n","https://uk.farnell.com/kyocera-avx/sr201a102jartr1/capacitor-1000pf-c0g-np0-100v/dp/4229326","1","Multilayer Ceramic Capacitor, 1000 pF, 100 V, ± 5%, Radial Leaded, C0G / NP0, 2.54 mm","SR201A102JARTR1","0.229"
"C20","180n","https://www.mouser.co.uk/ProductDetail/YAGEO/CC0603KRX7R6BB184?qs=57cj7OiSijmKt1fq2GueAA%3D%3D&srsltid=AfmBOoo1Brrkhn9BSbFTLjwYfDEAIaEl_ow6wNg0EZ1fHOH9hN8sJsFI","1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 0.18uF X7R 0603 10%","CC0603KRX7R6BB184","0.103"
"C21","820p","https://www.digikey.co.uk/en/products/detail/kemet/C0603X821K5RACAUTO/9925117","1","CAP CER 820PF 50V X7R 0603","C0603X821K5RACAUTO","0.336"
