"Reference","Value","Datasheet","Qty","Description","Manufacturer_Part_Number","Price"
"B1,B2,B3","BH-18650-PC","https://www.digikey.co.uk/en/products/detail/mpd-memory-protection-devices/BH-18650-PC/3029216?srsltid=AfmBOoq6lGI2cYGJ3Cfqnk8xR0AGBP0Fpn8p5Ip-hPx4z4o8K8kUS-Z8","3","BATTERY HOLDER 18650 PC PIN","BH-18650-PC","3.08"
"C1,C15,C25","2.2u","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188R61H225KE11D?qs=eeBpzGFlv%252B%2Fz%2FOAJ2DfLOw%3D%3D&srsltid=AfmBOooMRD77aOTkbRY7oYUXY9ClaKW758oHzigtEwQ_PDvO6XIDiy7v","3","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 50 VDC 10% 0603 X5R","GRM188R61H225KE11D","0.22"
"C2,C8,C9,C10,C11,C13","0.1u","https://uk.farnell.com/kemet/c0603c104k5racauto/cap-0-1-f-50v-10-x7r-0603/dp/2070398","6","SMD Multilayer Ceramic Capacitor, AEC-Q200, 0.1 µF, 50 V, 0603 [1608 Metric], ± 10%, X7R","C0603C104K5RACAUTO","0.05"
"C3,C14,C18,C26","10u","https://www.arrow.com/en/products/cl10a106ma8nrnc/samsung-electro-mechanics","4","Cap Ceramic 10uF 25V X5R 20% SMD 0603 85C T/R","CL10A106MA8NRNC","0.11"
"C4,C5,C16,C23","1u","-- mixed values --","4","CAP CER 1UF 50V X5R 0603","C1608X5R1H105K080AB","0.156"
"C6,C7","100p","","2","CAP CER 100PF 100V C0G/NP0 0603","GA0603A101JXBAC31G","0.204"
"C12","0.47u","https://www.digikey.co.uk/en/products/detail/tdk-corporation/C1608X5R1H474K080AB/2732899?srsltid=AfmBOoqagN9YJBqR85ruxF3MMpUEc4G3YAP5Yultw5Ndhr4vU9UQ3zFV","1","0.47 µF ±10% 50V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1H474K080AB","0.156"
"C17","4.7u","","1","","","None"
"C19","1n","","1","","","None"
"C20","180n","","1","","","None"
"C21","820p","C0603X821K5RACTU","1","","",""
"CR1,CR2,CR3","CMS05TE12L_Q_M","https://www.mouser.co.uk/ProductDetail/Toshiba/CMS05TE12LQM?qs=JiHARDETuZDcvazKO1MDNQ%3D%3D&srsltid=AfmBOopWrxi0PKcgDv_hck6b5GzUq4xcRRzPONvEurGhtaMTFZsmDRz3","3","Schottky Diode 0.45V FWD Voltage","CMS05TE12L_Q_M","0.80"
"D1","B370-13-F","https://www.diodes.com/assets/Datasheets/ds30020.pdf","1","Diodes Inc B370-13-F, SMT Schottky Diode, 70V 3A, 2-Pin DO-214AB","B370-13-F",""
