Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C1,0603,1,22pf,
"C10, C13, C2, C22, C23, C24, C4",0603,7,10uF,
"C11, C7",0603,2,1uF,
"C12, C20",0603,2,220nF,
C14,0603,1,27nf,
"C15, C3, C30",0603,3,100nF,
"C16, C18",0603,2,1.2nF,
C17,0603,1,180pF,
C19,0603,1,C_Small,
C21,0603,1,120pF,
"C25, C8",0603,2,0.1uF,
"C26, C27, C28, C29, C5, C9",0603,6,22uf,
"C31, C32",0603,2,10nF,
C6,0603,1,NC,
D1,0603,1,D_Zener_Small_Filled,
"IC1, IC2",SSOP24,2,TB6612FNG,
J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,MotorA,
J10,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiik1,
J11,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiik2,
J12,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiik3,
J13,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiik4,
J14,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiik5,
J15_2,39-30-Y040,1,39-30-0040,
J15,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,DCIn,
J16,UJCHGSMT2P6TR,1,UJC-H-G-SMT-2-P6-TR,
J2,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,MotorB,
J3,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,MotorC,
J4,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,MotorD,
J5,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,EncoderA,
J6,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,EncoderB,
J7,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,EncoderC,
J8,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,EncoderD,
J9,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,ESTOP,
L1,L_Bourns_SRN6045TA,1,3.3uH,
L2,L_Bourns_SRN6045TA,1,1.5uH,
L3,L_Bourns_SRN6045TA,1,1uH,
Q1,SOT-23,1,NPN,
"Q2, Q3",TO-252-2_TabPin1,2,NMOS_Substrate,
"R1, R20",0603,2,47k,
R10,0603,1,56.2k,
R11,0603,1,11k,
R12,0603,1,86.6k,
R13,0603,1,2.55k,
R14,0603,1,7.5k,
R15,0603,1,2.5k,
R16,0603,1,976,
"R17, R2, R21, R22, R23, R7",0603,6,20k,
R18,0603,1,2.23k,
R19,0603,1,225,
R3,0603,1,45k,
"R4, R5",0603,2,10k,
R6,0603,1,150k,
R8,0603,1,100k,
R9,0603,1,2.21,
U1,BOARD_NUCLEO-F411RE,1,NUCLEO-F411RE,
U3,SOT50P160X60-6N,1,TPS564252DRLR,
U4,VREG_TPS51386RJNR,1,TPS51386RJNR,
U5,RTW24,1,LM27403SQ/NOPB,
