Designator,Mid X,Mid Y,Rotation,Layer
,145.15,-116.225,0.0,bottom
C1,132.1625,-107.8875,270.0,top
C10,142.725,-104.075,0.0,top
C11,148.6,-120.4,270.0,top
C12,152.85,-119.6,0.0,top
C13,146.35,-127.65,180.0,top
C14,137.85,-111.65,180.0,top
C15,138.746567,-125.973369,270.0,top
C16,140.346567,-125.923369,270.0,top
C17,137.9,-113.575,180.0,top
C18,139.625,-116.475,180.0,top
C19,142.475,-111.225,180.0,top
C2,125.55,-126.3,0.0,top
C20,146.625,-107.375,90.0,top
C21,149.925,-107.375,90.0,top
C22,144.975,-105.825,270.0,top
C23,124.2875,-113.7,0.0,top
C24,124.3,-115.25,0.0,top
C25,124.2875,-112.15,0.0,top
C26,133.4125,-100.8125,270.0,top
C27,131.8125,-100.8375,270.0,top
C28,130.2125,-100.8375,270.0,top
C29,120.2,-119.025,90.0,top
C3,125.55,-127.85,0.0,top
C30,118.35,-118.975,90.0,top
C31,121.4,-124.7,0.0,top
C32,135.646567,-125.948369,270.0,top
C4,122.325,-127.9,180.0,top
C5,122.4,-119.025,90.0,top
C6,129.4375,-106.8125,0.0,top
C7,118.8125,-107.5625,180.0,top
C8,117.9625,-104.8125,90.0,top
C9,128.6125,-100.8375,270.0,top
D1,150.45,-120.4,270.0,top
IC1,147.2,-61.875,270.0,top
IC2,159.325,-62.05,90.0,top
J1,136.125,-57.15,0.0,top
J10,159.55,-88.65,270.0,top
J11,151.675,-88.65,270.0,top
J12,143.975,-88.6,270.0,top
J13,136.75,-88.6,270.0,top
J14,128.975,-88.7,270.0,top
J15_2,154.3791,-135.3025,90.0,top
J15,228.255,-96.075,0.0,top
J16,122.25,-136.1325,0.0,top
J2,137.5,-66.05,180.0,top
J3,168.875,-66.1,180.0,top
J4,167.525,-57.15,0.0,top
J5,123.425,-56.7875,0.0,top
J6,123.425,-64.7875,0.0,top
J7,123.675,-72.7625,0.0,top
J8,123.675,-80.7625,0.0,top
J9,217.475,-93.9,0.0,top
L1,126.65,-121.3,90.0,top
L2,123.9625,-102.0875,90.0,top
L3,166.0,-117.35,0.0,top
Q1,142.949472,-125.779244,270.0,top
Q2,157.65,-104.425,90.0,top
Q3,158.15,-118.4,90.0,top
R1,122.475,-126.25,180.0,top
R10,147.8,-126.05,0.0,top
R11,139.625,-118.05,180.0,top
R12,137.196567,-125.948369,270.0,top
R13,136.25,-116.475,180.0,top
R14,142.625,-106.575,0.0,top
R15,144.925,-110.475,90.0,top
R16,147.425,-109.675,0.0,top
R17,148.175,-105.825,270.0,top
R18,135.6,-112.75,270.0,top
R19,150.125,-104.025,270.0,top
R2,119.375,-126.25,180.0,top
R20,141.95,-120.5,90.0,top
R21,139.625,-119.65,180.0,top
R22,131.17,-136.88,90.0,top
R23,132.92,-136.88,90.0,top
R3,116.56,-123.8,270.0,top
R4,119.2,-127.9,0.0,top
R5,118.145,-122.175,270.0,top
R6,129.3875,-108.7125,0.0,top
R7,129.3625,-110.6625,180.0,top
R8,118.8125,-109.2625,0.0,top
R9,147.05,-120.4,270.0,top
U1,143.51,-92.87,0.0,top
U3,120.345,-122.7,180.0,top
U4,123.9625,-108.8375,90.0,top
U5,145.1524,-116.225,0.0,top
